Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1982,10.33,12.69,19.02,30.43,62.63,149.01,279.64,279.40,213.75,88.46,11.30,23.92
1983,16.09,21.46,12.02,36.93,43.56,141.80,268.45,235.84,153.04,57.55,11.92,9.94
1984,15.43,6.00,13.92,28.32,53.73,126.83,272.91,229.90,139.40,103.61,17.69,16.06
1985,10.76,19.27,11.68,32.73,51.26,149.13,243.76,229.27,130.53,62.63,41.76,17.69
1986,10.48,11.15,20.93,33.65,45.32,117.92,196.36,259.57,119.75,81.69,27.90,25.65
1987,4.36,12.49,22.80,39.32,55.07,160.80,326.63,269.07,219.71,45.81,21.51,15.72
1988,12.66,6.52,20.36,19.33,43.90,147.61,275.40,220.53,152.99,56.53,16.30,10.02
1989,5.90,29.43,27.29,29.95,82.79,175.69,267.06,284.87,165.73,82.78,26.24,14.06
1990,11.70,12.40,14.14,31.38,49.58,171.08,231.61,222.13,135.71,63.16,31.44,11.84
1991,12.30,14.57,11.23,15.98,49.13,101.57,201.30,237.68,167.29,64.20,35.87,4.20
1992,7.03,13.12,20.69,23.73,59.22,145.60,263.05,182.48,180.99,78.29,24.55,14.80
1993,19.67,16.96,14.04,35.33,39.95,156.68,306.95,253.26,140.14,87.06,21.11,5.68
1994,22.55,15.96,20.89,21.55,51.74,132.96,294.27,239.91,176.87,78.33,25.42,7.07
1995,14.96,12.74,16.10,30.63,37.64,164.19,254.55,257.83,143.18,98.09,16.27,10.51
1996,11.10,5.39,18.33,40.97,38.53,131.92,245.40,265.71,155.49,63.35,62.56,33.48
1997,7.91,17.78,23.11,35.83,49.60,134.87,271.95,250.61,184.75,99.83,43.07,13.06
1998,9.01,14.51,4.69,16.93,66.91,133.52,247.16,218.48,177.95,103.05,15.59,5.40
1999,8.48,18.80,10.19,32.43,72.45,160.42,266.06,222.16,129.85,48.30,14.82,8.69
2000,8.26,5.50,13.69,34.00,69.26,188.38,240.89,207.12,99.33,88.38,20.10,6.98
2001,11.57,13.30,11.99,29.94,47.44,150.45,146.41,239.15,123.98,68.67,25.63,6.25
2002,7.32,26.74,17.31,28.83,26.75,140.45,283.04,207.23,151.75,92.29,15.10,9.48
2003,14.42,5.21,7.94,34.67,56.54,147.17,210.88,244.88,133.10,102.03,17.30,5.32
2004,14.98,13.68,24.16,31.21,41.96,125.72,264.48,197.21,213.03,95.14,22.16,10.04
2005,5.72,5.70,32.45,36.20,72.15,134.57,288.65,255.11,182.29,75.08,35.22,4.89
2006,2.16,30.72,17.21,33.68,45.09,155.95,263.80,243.55,204.11,52.47,21.83,8.33
2007,11.72,12.62,18.27,32.06,45.68,206.42,238.72,275.14,163.67,59.54,31.44,9.40
2008,5.49,6.95,11.64,16.88,57.84,92.57,263.80,199.51,158.09,65.61,56.17,12.35
2009,7.40,9.40,10.34,33.93,52.23,136.70,274.75,282.94,217.39,85.55,59.65,16.80
2010,4.14,20.47,10.34,29.59,45.93,176.65,246.11,286.56,195.60,44.72,19.89,9.25
2011,18.87,4.83,7.28,39.44,29.41,100.18,250.32,260.40,215.51,57.07,25.80,9.79
2012,6.97,24.54,12.86,29.29,45.45,225.59,319.41,242.07,153.96,106.92,22.47,7.34
2013,15.35,21.91,18.66,21.72,56.93,104.93,253.52,211.65,199.56,69.53,16.95,9.18
2014,14.76,12.58,32.15,51.66,49.42,181.27,249.86,241.52,149.95,45.80,43.94,12.19
2015,7.94,9.52,20.92,24.18,63.66,150.27,313.98,239.78,159.05,53.50,10.42,11.90
2016,12.01,6.65,18.70,39.96,48.22,156.58,299.81,236.91,168.76,86.53,23.37,10.80
2017,2.72,6.27,10.45,33.57,50.56,151.69,281.45,219.14,144.58,43.94,20.54,9.85
2018,10.99,17.31,11.10,27.97,45.11,119.63,296.05,301.20,264.99,110.93,27.12,12.16
2019,20.58,10.52,24.09,43.03,54.90,155.99,242.06,292.38,197.93,87.14,27.83,12.35
2020,,,,,,,,,,,,
